text|language|tags|notes
This case concerns an original petition filed as a writ of mandamus (mandado de segurança) by [NAME] against the Real Estate Registry Officer, due to the refusal of an administrative request to record an extrajudicial adverse possession (usucapião) claim.|en|writ of mandamus,adverse possession,registry officer|Frase EXATA do texto humano - padrão de tradução
The petitioner asserts peaceful, uninterrupted possession of the urban property described in the complaint since 2003, with the requisite intent to possess as owner (animus domini).|en|possession,animus domini,adverse possession|Frase EXATA do texto humano - requisitos da usucapião
She seeks administrative recognition of adverse possession or, alternatively, a judicial declaration ordering the registry acts necessary to regularize title.|en|administrative recognition,registry acts,title|Frase EXATA do texto humano - pedidos
The challenged authority submitted statements and attached documentation to the record.|en|challenged authority,documentation|Frase EXATA do texto humano - autoridade coatora
The writ of mandamus aims to protect a clear and certain right (direito líquido e certo) under Article 5, LXIX of the Federal Constitution and Law No. 12,016/2009.|en|clear and certain right,writ of mandamus|Frase EXATA do texto humano - fundamento legal
The submitted evidence—site plan, written witness statements and tax payment records—demonstrates prolonged possession since 2003, with animus domini and no effective third-party challenge.|en|evidence,possession,documents|Frase EXATA do texto humano - documentação probatória
Administrative proceedings at the land registry office must follow the formalities provided by the Public Records Law (Lei n.o 6.015/1973) and related rules for extrajudicial adverse possession filings.|en|land registry,public records law,formalities|Frase EXATA do texto humano - procedimento legal
I find it appropriate to grant relief in part by ordering the competent registry office to carry out the necessary administrative acts to reassess the petition for an recording of adverse possession.|en|grant relief,administrative acts,registry|Frase EXATA do texto humano - decisão judicial
I vote to GRANT THE PETITION IN PART and to order the Registry to reexamine the administrative request for annotation of adverse possession within thirty (30) days.|en|grant petition,reexamine,annotation|Frase EXATA do texto humano - dispositivo em MAIÚSCULAS
The Registry shall perform the technical and formal verifications required and inform the court if judicial regularization proceedings is necessary, under penalty of administrative liability.|en|technical verifications,judicial regularization,liability|Frase EXATA do texto humano - determinação judicial
This determination is without prejudice to any subsequent judicial adjudication on the legal recognition of adverse possession.|en|without prejudice,judicial adjudication,recognition|Frase EXATA do texto humano - ressalva judicial
Refraining from any registrarial act that would perpetuate an incorrect title record.|en|registrarial act,title record|Frase EXATA do texto humano - abstenção de ato
Where documentary evidence incontrovertibly supports the asserted right.|en|documentary evidence,incontrovertibly|Fragmento EXATO do texto humano - prova documental
For the statutory period required for extraordinary adverse possession (see Arts. 1,238 et seq. of the Civil Code).|en|extraordinary adverse possession,civil code|Fragmento EXATO do texto humano - citação legal
Arguing that the statutory conditions provided in Articles 1,238 et seq. of the Brazilian Civil Code are met, together with constitutional property provisions.|en|statutory conditions,brazilian civil code|Frase EXATA do texto humano - requisitos legais
Trata-se de ação originada em mandado de segurança impetrado por [NOME] em face do Oficial do Cartório de Registro de Imóveis, em razão do indeferimento do pedido administrativo de averbação de usucapião extrajudicial.|pt|mandado de segurança,usucapião,cartório|Frase do texto original PT - contexto processual
A impetrante alega posse mansa, pacífica e ininterrupta do imóvel urbano descrito na inicial desde 2003, com ânimo de dono.|pt|posse,animus domini,usucapião|Frase do texto original PT - requisitos da posse
Requer o reconhecimento administrativo da usucapião ou, subsidiariamente, a declaração judicial que determine os atos registrários pertinentes.|pt|reconhecimento administrativo,atos registrários|Frase do texto original PT - pedidos
A autoridade coatora prestou informações e juntou os documentos que instruem o feito.|pt|autoridade coatora,instrução processual|Frase do texto original PT - procedimento MS
O mandado de segurança destina-se a proteger direito líquido e certo, nos termos do art. 5.º, inciso LXIX, da Constituição Federal.|pt|direito líquido e certo,mandado de segurança|Frase do texto original PT - fundamento constitucional
