text|language|tags|notes
O presente parecer aborda o trecho do contrato referente à concessão da rodovia BR-101, especificamente o stretch compreendido entre os quilômetros 150 e 200. Recomenda-se mencionar expressamente que a concessionária deve manter sinalização de emergência conforme o artigo 22, inciso III, do Código de Trânsito Brasileiro.|pt|concessão,infraestrutura,trecho|Timestamp: 2025-11-20T00:40:00Z
Para fins de clareza, a petição informa que apenas o trecho textual citado entre aspas deve ser considerado como binding excerpt da sentença. Qualquer menção posterior constitui síntese do julgamento e não integra o operative part do acórdão.|pt|excerpt,sentença,dispositivo|Timestamp: 2025-11-20T00:41:00Z
En el recurso extraordinario interpuesto, la recurrente sostiene que el artículo 17, inciso II, de la Constitución fue vulnerado. El tribunal aclara en el fundamento jurídico cuarto que la jurisprudencia consolidada exige prequestionamiento expreso para que la cuestión constitucional sea conocida.|es|español,recurso extraordinario,prequestionamiento|Timestamp: 2025-11-20T00:42:00Z
This memorandum highlights that references to Article 37, caput, of the Brazilian Constitution must preserve the original numbering and include an English gloss in parentheses, e.g., "Article 37, chapeau (general principles of public administration)".|en|english,article citation,caput|Timestamp: 2025-11-20T00:43:00Z
Ao homologar o termo de ajustamento de conduta, o juízo determinou que eventual cumprimento parcial deve ser certificado nos autos por meio de carta precatória dirigida ao foro da comarca de origem, a fim de preservar a cadeia de custódia documental.|pt|homologação,TAC,carta precatória|Timestamp: 2025-11-20T00:44:00Z
Se recomienda que, en traducciones al español, la expresión "trecho urbano" sea vertida como "tramo urbano" cuando se trate de vía pública, evitando confusión con "pasaje".|es|español,trecho,infraestructura|Timestamp: 2025-11-20T00:45:00Z
When translating protective orders, prefer "interim relief" for "medida cautelar" if the injunction precedes a full hearing, reserving "preliminary injunction" for decisions rendered after adversarial proceedings.|en|injunction,medida cautelar,translation guidance|Timestamp: 2025-11-20T00:46:00Z
La Defensoría Pública presentará un voto disidente respecto al trecho de la sentencia que aborda los derechos sociales, argumentando que la dignidad humana exige interpretación expansiva del artículo 25 de la Constitución.|es|dignidad humana,voto disidente,defensoría|Timestamp: 2025-11-20T00:47:00Z
É recomendável que os contratos bilíngues tragam nota de rodapé explicando que "consent decree" equivale a "termo de ajustamento de conduta" no contexto de enforcement ambiental.|pt|contratos bilíngues,consent decree,TAC|Timestamp: 2025-11-20T00:48:00Z
Para uniformizar citações, utilizar o padrão "art. 5º, inciso LIV, da Constituição Federal (due process of law)" na primeira menção em inglês e espanhol, assegurando que as demais referências possam usar forma abreviada.|pt|due process,article citation,estilo|Timestamp: 2025-11-20T00:49:00Z
